tempo,osso
0.0,0.0
1.0013717421124828,1.1656603593654355e-05
2.0027434842249656,2.179477134225408e-05
3.0041152263374484,3.0729495122526606e-05
4.005486968449931,3.883781575087859e-05
5.006858710562414,4.669488131233068e-05
6.008230452674897,5.5594993669731265e-05
7.00960219478738,7.061282267172035e-05
8.010973936899862,0.00012264377816479155
9.012345679012345,0.0003907564042276391
10.013717421124827,0.0015483370458398947
11.015089163237311,0.005091381997370154
12.016460905349794,0.013038353594734365
13.017832647462276,0.02703782535377569
14.01920438957476,0.04765105554256252
15.020576131687243,0.07428516808527451
16.021947873799725,0.10561002376918505
17.023319615912207,0.1400694499117153
18.02469135802469,0.17624112291082505
19.026063100137172,0.21299838140068544
20.027434842249654,0.24953142640099238
21.02880658436214,0.2853002610993964
22.030178326474623,0.319968834467947
23.031550068587105,0.3533445332074186
24.032921810699587,0.3853308916166695
25.03429355281207,0.41589369224783457
26.035665294924552,0.44503783571321215
27.037037037037035,0.47279207147726515
28.03840877914952,0.4991991276937673
29.039780521262003,0.5243094162209825
30.041152263374485,0.5481770784774587
31.042524005486968,0.5708575230599656
32.04389574759945,0.5924059159658965
33.04526748971193,0.612876272891076
34.046639231824415,0.6323209314642507
35.0480109739369,0.6507902621742369
36.04938271604938,0.6683325291261543
37.05075445816186,0.6849938432866313
38.052126200274344,0.7008181730816194
39.05349794238683,0.7158473896474662
40.05486968449931,0.7301213317232258
41.0562414266118,0.743677882461602
42.05761316872428,0.756553050870021
43.05898491083676,0.7687810554724954
44.060356652949245,0.7803944075479357
45.06172839506173,0.7914239924860852
46.06310013717421,0.8018991487328446
47.06447187928669,0.8118477437386697
48.065843621399175,0.821296246678803
49.06721536351166,0.8302697979674944
50.06858710562414,0.8387922755867083
51.06995884773662,0.8468863581276084
52.071330589849104,0.8545735848325618
53.07270233196159,0.8618744127582405
54.07407407407407,0.868808270956668
55.07544581618655,0.875393612057283
56.07681755829904,0.881647961316402
57.07818930041152,0.8875879630956138
58.079561042524006,0.8932294251055019
59.08093278463649,0.8985873604205186
60.08230452674897,0.9036760273476281
